Y	fullname	cellphone	address
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	0.0	0.95454544	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	0.0	0.95454544	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	0.0	0.95454544	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	1.0
no	0.0	0.0	0.94736844
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	0.0	0.0	1.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.9444444
no	0.0	0.6666666	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	0.0	0.68421054	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	0.0	0.95454544	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.7692308
yes	1.0	0.0	0.0
no	0.0	0.95238096	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.9090909
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	0.0	0.7222222	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	0.0	0.95454544	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	0.0	0.95454544	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	0.0	0.95454544	0.0
yes	1.0	0.0	0.0
no	0.0	0.95454544	0.0
yes	1.0	0.0	0.0
no	0.0	0.95454544	0.0
yes	1.0	0.0	0.0
no	0.0	0.95454544	0.0
yes	1.0	0.0	0.969697
no	0.0	0.95454544	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	0.0	0.95454544	0.0
yes	1.0	0.0	0.0
no	0.0	0.95454544	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	0.0	0.95454544	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	0.0	0.0	0.8235294
no	1.0	0.0	0.0
yes	1.0	0.0	0.9189189
no	1.0	0.0	0.0
yes	1.0	0.0	0.9756098
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	0.0	0.6111111	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	1.0
no	0.0	0.95454544	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	0.0	0.95454544	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.59375
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	0.0	0.57894737	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	0.0	0.6315789	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	0.0	0.95454544	0.0
yes	1.0	0.0	0.94736844
no	1.0	0.0	0.0
yes	1.0	0.0	0.969697
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	0.0	0.95454544	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	0.0	0.95454544	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	0.0	0.78947365	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	0.0	0.57894737	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.86956525
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	0.0	0.5263158	0.6571429
yes	1.0	0.0	0.0
no	0.0	0.5263158	0.6571429
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	0.0	0.6315789	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	0.0	0.78947365	0.0
yes	1.0	0.0	1.0
no	0.0	0.57894737	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	1.0	0.0	0.0
yes	1.0	0.0	0.0
no	0.0	0.78947365	0.0
